lambda_plus_mult,universe,estimator,allocator,window,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
1.150000,us_sector_etf,sample,max_diversification,252,monthly,10.000000,median_bulk,0.380793,0.369596,0.031211,0.096019,0.166206,0.194521,0.090944,5.359632,1.990132,4.064003
1.150000,us_sector_etf,rmt_hard,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.755234,1.403617,30.446443
1.150000,us_sector_etf,rmt_hard,inverse_variance,252,monthly,10.000000,median_bulk,0.359404,0.356078,0.035927,0.120640,0.194997,0.186399,0.034071,14.255126,1.675951,10.451057
1.150000,us_sector_etf,rmt_hard,minimum_variance,252,monthly,10.000000,median_bulk,0.336692,0.329582,0.029505,0.105609,0.168172,0.180089,0.063627,5.140402,1.838996,5.179909
1.150000,us_sector_etf,rmt_hard,risk_parity,252,monthly,10.000000,median_bulk,0.459354,0.456325,0.046435,0.114440,0.178371,0.262379,0.029358,16.000000,1.757711,15.543627
1.150000,us_sector_etf,rmt_hard,hrp,252,monthly,10.000000,median_bulk,0.285286,0.276246,0.023698,0.105574,0.207060,0.119187,0.080143,9.267780,1.727179,3.446914
1.150000,us_sector_etf,rmt_hard,max_diversification,252,monthly,10.000000,median_bulk,0.388527,0.377067,0.032106,0.096581,0.156185,0.212915,0.093089,5.487519,1.991695,4.050616
1.150000,us_sector_etf,rmt_soft,equal_weight,252,monthly,10.000000,median_bulk,0.634706,0.633246,0.094778,0.167495,0.280438,0.338928,0.020799,12.754975,1.413392,30.446443
1.150000,us_sector_etf,rmt_soft,inverse_variance,252,monthly,10.000000,median_bulk,0.360782,0.357501,0.035993,0.120141,0.193642,0.188001,0.033440,14.293378,1.690268,10.690884
1.150000,us_sector_etf,rmt_soft,minimum_variance,252,monthly,10.000000,median_bulk,0.331579,0.325192,0.028998,0.105479,0.173091,0.171592,0.057371,5.243413,1.843417,5.668185
1.150000,us_sector_etf,rmt_soft,risk_parity,252,monthly,10.000000,median_bulk,0.457949,0.454926,0.046309,0.114562,0.178674,0.261226,0.029343,16.000000,1.766959,15.503600
1.150000,us_sector_etf,rmt_soft,hrp,252,monthly,10.000000,median_bulk,0.263805,0.255587,0.021311,0.104476,0.213055,0.104174,0.072580,9.200032,1.738116,3.521469
1.150000,us_sector_etf,rmt_soft,max_diversification,252,monthly,10.000000,median_bulk,0.380944,0.370081,0.031402,0.096555,0.162488,0.199953,0.088326,5.628672,1.993404,4.189934
