window,universe,estimator,allocator,frequency,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
500,us_sector_etf,ledoit_wolf,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.991664,1.381192,40.257720
500,us_sector_etf,ledoit_wolf,inverse_variance,monthly,10.000000,median_bulk,0.571164,0.568377,0.050612,0.094891,0.182306,0.279199,0.023039,14.459195,1.619146,24.669713
500,us_sector_etf,ledoit_wolf,minimum_variance,monthly,10.000000,median_bulk,0.421500,0.416594,0.030861,0.080827,0.171426,0.182461,0.033936,5.245346,1.789696,12.276020
500,us_sector_etf,ledoit_wolf,risk_parity,monthly,10.000000,median_bulk,0.548786,0.545988,0.049179,0.096553,0.193947,0.255071,0.023344,16.000000,1.727835,23.389243
500,us_sector_etf,ledoit_wolf,hrp,monthly,10.000000,median_bulk,0.400809,0.393959,0.029861,0.083556,0.171246,0.177873,0.048790,10.079748,1.743608,8.074571
500,us_sector_etf,ledoit_wolf,max_diversification,monthly,10.000000,median_bulk,0.408403,0.400881,0.030760,0.084482,0.194650,0.161379,0.052827,6.015196,1.927562,7.588639
500,us_sector_etf,constant_corr,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.991498,1.361841,40.257720
500,us_sector_etf,constant_corr,inverse_variance,monthly,10.000000,median_bulk,0.471717,0.468666,0.039851,0.092560,0.186731,0.215017,0.024173,14.685898,1.636783,19.388218
500,us_sector_etf,constant_corr,minimum_variance,monthly,10.000000,median_bulk,0.409772,0.404836,0.029932,0.080966,0.171084,0.177402,0.034094,5.096309,1.746827,11.874010
500,us_sector_etf,constant_corr,risk_parity,monthly,10.000000,median_bulk,0.516194,0.513230,0.045442,0.095545,0.193730,0.236121,0.024224,16.000000,1.699318,21.187111
500,us_sector_etf,constant_corr,hrp,monthly,10.000000,median_bulk,0.305959,0.299477,0.021531,0.082406,0.178196,0.123915,0.045100,9.356914,1.703472,6.640354
500,us_sector_etf,constant_corr,max_diversification,monthly,10.000000,median_bulk,0.353913,0.345288,0.026142,0.085255,0.203382,0.132226,0.060914,5.657861,1.898410,5.668461
500,us_sector_etf,rmt_hard,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.974818,1.359420,40.257720
500,us_sector_etf,rmt_hard,inverse_variance,monthly,10.000000,median_bulk,0.473778,0.470690,0.040177,0.092895,0.186687,0.216841,0.024550,14.692827,1.639727,19.172929
500,us_sector_etf,rmt_hard,minimum_variance,monthly,10.000000,median_bulk,0.405283,0.400137,0.029543,0.080977,0.172181,0.174120,0.035600,5.091763,1.755817,11.239943
500,us_sector_etf,rmt_hard,risk_parity,monthly,10.000000,median_bulk,0.513496,0.510523,0.045153,0.095498,0.193885,0.234442,0.024266,16.000000,1.706870,21.038265
500,us_sector_etf,rmt_hard,hrp,monthly,10.000000,median_bulk,0.312531,0.305336,0.022332,0.083788,0.185114,0.124012,0.051213,9.427466,1.709224,5.962086
500,us_sector_etf,rmt_hard,max_diversification,monthly,10.000000,median_bulk,0.326502,0.317405,0.023434,0.084089,0.201826,0.119984,0.063701,5.594637,1.906735,4.982741
500,us_sector_etf,rmt_soft,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.974342,1.365689,40.257720
500,us_sector_etf,rmt_soft,inverse_variance,monthly,10.000000,median_bulk,0.471482,0.468417,0.039839,0.092589,0.186632,0.215074,0.024297,14.692094,1.647807,19.278513
500,us_sector_etf,rmt_soft,minimum_variance,monthly,10.000000,median_bulk,0.407382,0.402431,0.029716,0.080918,0.171521,0.175696,0.034197,5.111244,1.757341,11.767865
500,us_sector_etf,rmt_soft,risk_parity,monthly,10.000000,median_bulk,0.513359,0.510386,0.045142,0.095505,0.193912,0.234354,0.024269,16.000000,1.712021,21.030122
500,us_sector_etf,rmt_soft,hrp,monthly,10.000000,median_bulk,0.313018,0.306405,0.022113,0.082409,0.181408,0.124997,0.046111,9.328159,1.714917,6.644945
500,us_sector_etf,rmt_soft,max_diversification,monthly,10.000000,median_bulk,0.348903,0.340192,0.025602,0.084887,0.202830,0.129950,0.061447,5.690635,1.909268,5.536336
500,us_sector_etf,rmt_rie,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.972539,1.380654,40.257720
500,us_sector_etf,rmt_rie,inverse_variance,monthly,10.000000,median_bulk,0.467308,0.464154,0.039481,0.092722,0.186978,0.212808,0.025016,14.645935,1.662766,18.554241
500,us_sector_etf,rmt_rie,minimum_variance,monthly,10.000000,median_bulk,0.398180,0.393046,0.028920,0.080875,0.171348,0.171324,0.035560,5.176467,1.782044,11.053165
500,us_sector_etf,rmt_rie,risk_parity,monthly,10.000000,median_bulk,0.511138,0.508177,0.044979,0.095637,0.194050,0.233341,0.024203,16.000000,1.728653,20.996819
500,us_sector_etf,rmt_rie,hrp,monthly,10.000000,median_bulk,0.297005,0.288767,0.020803,0.083278,0.185142,0.116225,0.058902,9.377798,1.727840,4.902481
500,us_sector_etf,rmt_rie,max_diversification,monthly,10.000000,median_bulk,0.357869,0.347923,0.026335,0.085117,0.202913,0.134047,0.070227,5.924895,1.926039,4.954255
500,us_sector_etf,factor_model,equal_weight,monthly,10.000000,median_bulk,0.888864,0.886820,0.105883,0.122270,0.180522,0.588132,0.022029,12.960504,1.349283,40.257720
